Ex-Dividend Date,Dividend,Type,Payment Date,Yield
"Nov 10, 2023",0.24,,"Nov 16, 2023",0.53%
"Aug 11, 2023",0.24,,"Aug 17, 2023",0.54%
"May 12, 2023",0.24,,"May 18, 2023",0.55%
"Feb 10, 2023",0.23,,"Feb 16, 2023",0.61%
"Nov 04, 2022",0.23,,"Nov 10, 2022",0.66%
"Aug 05, 2022",0.23,,"Aug 11, 2022",0.55%
"May 06, 2022",0.23,,"May 12, 2022",0.59%
"Feb 04, 2022",0.22,,"Feb 10, 2022",0.51%
"Nov 05, 2021",0.22,,"Nov 11, 2021",0.58%
"Aug 06, 2021",0.22,,"Aug 12, 2021",0.60%
"May 07, 2021",0.22,,"May 13, 2021",0.68%
"Feb 05, 2021",0.205,,"Feb 11, 2021",0.60%
"Nov 06, 2020",0.205,,"Nov 12, 2020",0.69%
"Aug 07, 2020",0.82,,"Aug 13, 2020",0.72%
"May 08, 2020",0.82,,"May 14, 2020",1.08%
"Feb 07, 2020",0.77,,"Feb 13, 2020",0.95%
"Nov 07, 2019",0.77,,"Nov 14, 2019",1.20%
"Aug 09, 2019",0.77,,"Aug 15, 2019",1.51%
"May 10, 2019",0.77,,"May 16, 2019",1.53%
"Feb 08, 2019",0.73,,"Feb 14, 2019",1.71%
"Nov 08, 2018",0.73,,"Nov 15, 2018",1.39%
"Aug 10, 2018",0.73,,"Aug 16, 2018",1.40%
"May 11, 2018",0.73,,"May 17, 2018",1.54%
"Feb 09, 2018",0.63,,"Feb 15, 2018",1.62%
"Nov 10, 2017",0.63,,"Nov 16, 2017",1.43%
"Aug 10, 2017",0.63,,"Aug 17, 2017",1.56%
"May 11, 2017",0.63,,"May 18, 2017",1.64%
"Feb 09, 2017",0.57,,"Feb 16, 2017",1.73%
"Nov 03, 2016",0.57,,"Nov 10, 2016",2.04%
"Aug 04, 2016",0.57,,"Aug 11, 2016",2.16%
"May 05, 2016",0.57,,"May 12, 2016",2.42%
"Feb 04, 2016",0.52,,"Feb 11, 2016",2.16%
"Nov 05, 2015",0.52,,"Nov 12, 2015",1.66%
"Aug 06, 2015",0.52,,"Aug 13, 2015",1.72%
"May 07, 2015",0.52,,"May 14, 2015",1.54%
"Feb 05, 2015",0.47,,"Feb 12, 2015",1.57%
"Nov 06, 2014",0.47,,"Nov 13, 2014",1.70%
"Aug 07, 2014",0.47,,"Aug 14, 2014",1.91%
"May 08, 2014",3.29,,"May 15, 2014",2.10%
"Feb 06, 2014",3.05,,"Feb 13, 2014",2.38%
"Nov 06, 2013",3.05,,"Nov 14, 2013",2.25%
"Aug 08, 2013",3.05,,"Aug 15, 2013",2.45%
"May 09, 2013",3.05,,"May 16, 2013",2.37%
"Feb 07, 2013",2.65,,"Feb 14, 2013",1.74%
"Nov 07, 2012",2.65,,"Nov 15, 2012",0.91%
"Aug 09, 2012",2.65,,"Aug 16, 2012",0.43%
"Nov 21, 1995",0.12,,"Dec 15, 1995",1.24%
"Aug 16, 1995",0.12,,"Sep 08, 1995",1.09%
"May 26, 1995",0.12,,"Jun 23, 1995",1.11%
"Feb 13, 1995",0.12,,"Mar 10, 1995",1.10%
"Nov 18, 1994",0.12,,"Dec 16, 1994",1.20%
"Aug 15, 1994",0.12,,"Sep 09, 1994",1.38%
"May 27, 1994",0.12,,"Jun 24, 1994",1.57%
"Feb 07, 1994",0.12,,"Mar 04, 1994",1.43%
"Nov 19, 1993",0.12,,"Dec 17, 1993",1.43%
"Aug 16, 1993",0.12,,"Sep 10, 1993",1.75%
"May 28, 1993",0.12,,"Jun 25, 1993",0.83%
"Feb 12, 1993",0.12,,"Mar 12, 1993",0.87%
"Nov 30, 1992",0.12,,"Dec 18, 1992",0.85%
"Aug 17, 1992",0.12,,"Sep 11, 1992",1.07%
