Release Date,Period End,EPS,/  Forecast,Revenue,/  Forecast
"Jan 25, 2024",Dec-23,--,/  2.1,--,/  118.1B
"Nov 02, 2023",Sep-23,1.46,/  1.39,89.5B,/  89.31B
"Aug 03, 2023",Jun-23,1.26,/  1.19,81.8B,/  81.73B
"May 04, 2023",Mar-23,1.52,/  1.43,94.8B,/  92.9B
"Feb 02, 2023",Dec-22,1.88,/  1.94,117.2B,/  121.88B
"Oct 27, 2022",Sep-22,1.29,/  1.26,90.1B,/  88.76B
"Jul 28, 2022",Jun-22,1.2,/  1.16,82.96B,/  82.79B
"Apr 28, 2022",Mar-22,1.52,/  1.42,97.28B,/  94.03B
"Jan 27, 2022",Dec-21,2.1,/  1.9,123.95B,/  119B
"Oct 28, 2021",Sep-21,1.24,/  1.24,83.36B,/  85.05B
"Jul 27, 2021",Jun-21,1.3,/  1.01,81.43B,/  73.33B
"Apr 28, 2021",Mar-21,1.46,/  0.99,89.58B,"/  77,278M"
"Jan 27, 2021",Dec-20,1.68,/  1.42,111.44B,/  103.27B
"Oct 29, 2020",Sep-20,0.73,/  0.7099,64.7B,/  63.8B
"Jul 30, 2020",Jun-20,0.645,/  0.51,59.69B,/  52.29B
"Apr 30, 2020",Mar-20,0.6375,/  2.25,58.31B,/  54.9B
"Jan 28, 2020",Dec-19,1.25,/  4.54,91.82B,/  88.51B
"Oct 30, 2019",Sep-19,0.7575,/  2.83,64.04B,/  63.01B
"Jul 30, 2019",Jun-19,0.545,/  2.09,53.81B,/  53.32B
"Apr 30, 2019",Mar-19,0.615,/  2.36,58.02B,/  57.51B
"Jan 29, 2019",Dec-18,1.05,/  4.17,84.31B,/  83.97B
"Nov 01, 2018",Sep-18,0.7275,/  2.78,62.9B,/  61.46B
"Jul 31, 2018",Jun-18,0.585,/  2.16,53.27B,/  52.3B
"May 01, 2018",Mar-18,0.6825,/  2.69,61.14B,/  61.15B
"Feb 01, 2018",Dec-17,0.9725,/  0.80,88.29B,"/  77,250M"
"Nov 02, 2017",Sep-17,0.5175,/  0.47,52.58B,"/  50,699M"
"Aug 01, 2017",Jun-17,0.4175,/  0.39,45.41B,"/  44,886M"
"May 02, 2017",Mar-17,0.525,/  0.51,52.9B,"/  53,016M"
"Jan 31, 2017",Dec-16,3.36,/  0.81,78.35B,"/  76,544M"
"Oct 25, 2016",Sep-16,1.67,/  0.41,46.85B,"/  46,938M"
"Jul 26, 2016",Jun-16,1.67,/  0.35,42.36B,"/  42,087M"
"Apr 26, 2016",Mar-16,1.42,/  0.50,50.56B,"/  51,972M"
"Jan 26, 2016",Dec-15,3.28,/  0.65,75.87B,"/  67,691M"
"Oct 27, 2015",Sep-15,1.96,/  0.47,51.50B,"/  51,114M"
"Jul 21, 2015",Jun-15,1.85,/  0.45,49.61B,"/  49,428M"
"Apr 27, 2015",Mar-15,2.33,/  0.54,58.01B,"/  56,080M"
"Jan 27, 2015",Dec-14,3.06,/  3.52,74.60B,"/  57,457M"
"Oct 20, 2014",Sep-14,1.42,/  0.33,42.12B,"/  49,368M"
"Jul 22, 2014",Jun-14,1.28,/  1.20,37.43B,"/  37,976M"
"Apr 23, 2014",Mar-14,1.66,/  2.55,--,"/  43,563M"
"Jan 27, 2014",Dec-13,14.5,/  1.92,--,"/  54,734M"
"Oct 28, 2013",Sep-13,8.26,/  1.14,--,"/  36,927M"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
